episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;0;Timer;36.201;6.200;30.001;0.000
2;1;null;21.460;4.840;12.080;4.540
3;1;null;8.160;2.620;0.640;4.900
4;1;null;14.780;7.360;2.640;4.780
5;1;null;8.760;3.580;1.560;3.620
6;1;null;12.680;2.720;6.580;3.380
7;1;null;13.840;6.340;6.520;0.980
8;1;null;17.040;8.220;3.480;5.340
9;1;null;11.620;4.480;2.200;4.940
10;1;null;14.700;6.520;4.180;4.000
11;1;null;12.700;6.480;1.100;5.120
12;1;null;6.340;4.080;0.960;1.300
13;1;null;8.740;3.740;1.480;3.520
14;1;null;8.200;2.120;0.600;5.480
15;1;null;9.960;2.960;4.460;2.540
16;1;null;9.580;6.640;1.260;1.680
17;1;null;15.120;6.140;6.280;2.700
18;1;null;13.280;5.660;1.980;5.640
19;1;null;10.360;2.100;4.860;3.400
20;1;null;19.740;7.600;2.200;9.940
21;1;null;13.060;4.420;5.980;2.660
22;1;null;9.600;4.340;0.780;4.480
23;1;null;12.500;5.240;3.940;3.320
24;1;null;21.580;6.300;11.560;3.720
25;1;null;12.080;5.860;1.700;4.520
26;1;null;21.400;6.220;4.700;10.480
27;1;null;11.140;4.360;2.560;4.220
28;1;null;24.320;10.080;3.920;10.320
29;1;null;25.160;9.520;5.220;10.420
30;1;null;8.100;5.420;2.060;0.620
31;1;null;6.340;1.820;3.420;1.100
32;0;DragonEscaped;12.880;12.880;0.000;0.000
33;1;null;12.280;8.060;3.160;1.060
34;1;null;10.980;3.300;4.080;3.600
35;1;null;16.820;5.460;7.740;3.620
36;1;null;15.800;6.600;0.960;8.240
37;0;DragonEscaped;10.240;10.240;0.000;0.000
38;1;null;13.940;6.020;4.760;3.160
39;0;Timer;34.361;4.360;30.001;0.000
40;1;null;8.820;2.780;2.540;3.500
41;1;null;16.740;4.260;8.740;3.740
42;1;null;21.060;9.840;3.680;7.540
43;1;null;23.880;5.020;15.740;3.120
