OVERVIEW
total_episodes,wins,losses,win_rate,loss_rate
300,276,24,0.92,0.08

LOSS BREAKDOWN
failReason,count,pct_of_losses,pct_of_total
DragonEscaped,17,0.7083,0.0567
Timer,7,0.2917,0.0233

METRIC MEANS
episodeDuration_mean,timeToKillAllDragons_mean,timeToGrabKey_mean,timeFromKeyGrabToEscape_mean
14.1939,5.4977,4.8655,4.353

PHASE TIME PERCENTAGES (key grabbed episodes only)
phase,episodes_used,mean_seconds,mean_pct_of_duration
timeToKillAllDragons,283,5.1643,0.3905
timeToGrabKey,283,4.8655,0.3038
timeFromKeyGrabToEscape,283,4.353,0.3057
