episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;0;0;0;-1.000;9;17.506;0.002;2.396;5.053;2.740;7.380
1;Agreeable;0;0;0;-1.000;6;14.743;0.908;2.854;10.295;1.020;4.120
1;Conscientious;6;2;1;4.601;2;34.192;3.000;3.168;4.397;0.520;2.920
1;Neurotic;0;0;0;-1.000;3;12.332;0.615;2.516;9.252;1.320;4.260
2;Extrovert;2;0;0;-1.000;9;12.933;0.002;2.091;3.038;1.220;6.420
2;Agreeable;2;1;0;-1.000;8;20.847;1.102;2.340;5.475;0.820;5.300
2;Conscientious;2;1;1;2.681;5;17.652;2.778;2.853;5.392;0.020;5.800
2;Neurotic;0;0;0;-1.000;4;13.304;0.834;3.372;7.227;1.020;1.760
3;Extrovert;0;0;0;-1.000;0;17.567;0.073;4.149;12.361;7.520;0.000
3;Agreeable;5;2;0;-1.000;4;26.638;0.455;4.081;3.455;1.300;5.520
3;Conscientious;1;0;1;16.160;4;59.392;3.000;3.465;5.455;0.100;6.660
3;Neurotic;0;0;0;-1.000;0;16.256;0.627;3.259;8.624;2.100;1.420
