episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;0;0;0;-1.000;1;13.196;0.241;3.663;9.990;3.500;2.980
1;Intro_Iso;2;0;1;2.780;1;27.119;2.314;3.587;5.431;0.220;1.740
1;NonConscientious;4;2;0;-1.000;0;19.842;0.236;3.462;4.769;0.420;0.820
1;Neurotic;0;0;0;-1.000;2;12.317;0.282;2.679;4.808;0.620;3.900
2;Extrovert;0;0;0;-1.000;1;21.096;0.752;3.144;3.920;2.240;7.320
2;Intro_Iso;1;0;1;6.800;1;25.955;3.000;3.061;5.051;1.120;8.980
2;NonConscientious;4;2;0;-1.000;1;24.982;1.280;3.087;3.611;0.420;4.960
2;Neurotic;1;0;0;-1.000;1;15.103;0.244;3.652;5.498;0.620;4.120
3;Extrovert;0;0;0;-1.000;3;14.211;0.335;3.485;5.254;1.900;4.980
3;Intro_Iso;4;1;0;-1.000;1;28.177;0.436;3.265;6.344;0.400;2.460
3;NonConscientious;1;0;0;-1.000;2;16.735;1.507;3.170;4.413;0.300;3.700
3;Neurotic;0;0;0;-1.000;0;12.394;1.728;4.537;6.313;0.200;0.000
4;Extrovert;0;0;0;-1.000;18;22.055;0.811;2.519;6.973;3.160;18.880
4;Intro_Iso;3;0;1;7.880;0;28.650;2.940;3.951;5.847;1.320;1.280
4;NonConscientious;2;1;0;-1.000;8;26.592;0.580;2.883;7.106;0.520;12.120
4;Neurotic;1;1;0;-1.000;10;26.681;0.843;2.654;5.088;0.820;8.800
5;Extrovert;0;0;0;-1.000;0;14.708;1.042;5.920;10.415;3.900;0.420
5;Intro_Iso;0;0;0;-1.000;4;18.294;0.686;4.126;8.871;0.520;5.780
5;NonConscientious;2;1;0;-1.000;3;14.708;1.138;3.608;6.795;0.120;4.440
5;Neurotic;2;0;0;-1.000;1;13.191;0.572;4.360;4.801;0.820;1.800
6;Extrovert;0;0;0;-1.000;13;43.649;0.103;2.629;6.962;6.780;22.800
6;Intro_Iso;0;0;1;4.939;10;49.078;3.000;3.111;6.119;1.320;13.180
6;NonConscientious;4;2;0;-1.000;15;52.385;2.162;2.216;4.056;1.320;22.420
6;Neurotic;2;0;0;-1.000;6;31.629;0.199;2.683;5.383;2.520;14.360
