episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;11.920;6.920;2.780;2.220
2;1;null;18.580;7.380;6.800;4.400
3;0;DragonEscaped;11.180;11.180;0.000;0.000
4;1;null;21.380;11.760;7.880;1.740
5;0;DragonEscaped;12.380;12.380;0.000;0.000
6;1;null;40.861;14.540;4.940;21.380
7;0;Timer;37.761;7.760;28.860;1.140
8;0;Timer;33.621;3.620;30.001;0.000
9;0;Timer;38.421;8.420;30.001;0.000
10;0;Timer;36.881;6.880;14.420;15.580
11;1;null;21.060;7.560;3.740;9.760
12;0;Timer;41.081;11.080;21.900;8.100
13;0;Timer;38.621;8.620;28.840;1.160
14;1;null;13.460;7.840;1.100;4.520
15;0;Timer;37.041;7.040;30.001;0.000
16;1;null;3.860;1.360;1.660;0.840
17;1;null;25.820;6.060;16.720;3.040
18;1;null;21.140;5.660;5.980;9.500
19;1;null;11.860;6.100;0.800;4.960
20;0;Timer;33.801;3.800;9.760;20.240
21;0;Timer;37.601;7.620;1.160;28.820
22;0;DragonEscaped;11.760;11.760;0.000;0.000
23;0;Timer;35.761;5.760;30.001;0.000
24;1;null;21.480;13.720;4.000;3.760
25;0;Timer;41.501;11.500;28.460;1.540
26;0;Timer;36.641;6.640;30.001;0.000
27;0;Timer;43.601;13.600;26.340;3.660
28;0;DragonEscaped;15.840;15.840;0.000;0.000
29;0;Timer;37.381;7.380;3.260;26.740
30;1;null;14.380;6.300;3.800;4.280
31;0;DragonEscaped;9.000;9.000;0.000;0.000
32;0;Timer;36.001;6.000;30.001;0.000
33;1;null;21.920;12.980;4.800;4.140
34;1;null;22.020;3.340;7.840;10.840
35;1;null;11.180;4.980;2.280;3.920
36;0;Timer;33.981;3.980;30.001;0.000
37;0;DragonEscaped;12.500;12.500;0.000;0.000
38;0;Timer;39.821;9.820;9.100;20.900
39;0;DragonEscaped;8.940;8.940;0.000;0.000
40;0;DragonEscaped;14.700;14.700;0.000;0.000
41;0;Timer;38.981;8.980;10.520;19.480
42;0;Timer;36.241;6.240;17.300;12.700
43;0;Timer;36.421;6.420;30.001;0.000
44;1;null;32.661;5.300;10.240;17.120
45;0;DragonEscaped;9.880;9.880;0.000;0.000
46;1;null;21.140;10.080;3.200;7.860
47;0;Timer;34.001;4.000;30.001;0.000
48;0;DragonEscaped;11.440;11.440;0.000;0.000
49;1;null;19.040;6.400;10.240;2.400
50;0;Timer;32.481;2.480;14.380;15.620
51;0;Timer;37.741;7.740;16.080;13.920
52;1;null;15.100;3.560;11.300;0.240
53;0;Timer;36.841;6.840;1.940;28.060
54;1;null;31.841;3.280;19.920;8.640
55;0;Timer;33.281;3.280;30.001;0.000
56;0;DragonEscaped;10.960;10.960;0.000;0.000
57;0;Timer;41.021;11.020;30.001;0.000
58;1;null;26.440;7.460;11.800;7.180
59;0;DragonEscaped;9.560;9.560;0.000;0.000
60;0;Timer;36.361;6.360;14.840;15.160
61;0;Timer;39.061;9.060;24.720;5.280
62;1;null;33.721;5.400;21.100;7.220
63;1;null;39.521;10.300;20.480;8.740
64;1;null;24.160;9.900;8.420;5.840
65;1;null;28.520;4.100;15.440;8.980
66;1;null;14.420;5.820;2.160;6.440
67;0;Timer;33.381;3.380;30.001;0.000
68;1;null;29.960;7.740;11.660;10.560
69;0;DragonEscaped;9.820;9.820;0.000;0.000
70;0;DragonEscaped;12.300;12.300;0.000;0.000
71;0;Timer;36.181;6.180;30.001;0.000
72;1;null;25.960;9.240;9.620;7.100
73;0;Timer;38.021;8.020;30.001;0.000
74;0;Timer;34.301;4.300;9.280;20.720
75;1;null;26.680;9.220;10.540;6.920
76;1;null;17.500;7.940;3.540;6.020
77;1;null;7.780;5.520;1.040;1.220
78;1;null;16.200;7.680;2.180;6.340
79;0;Timer;35.781;5.780;1.720;28.280
80;1;null;30.041;3.260;15.180;11.600
81;1;null;32.561;5.120;21.820;5.620
82;1;null;27.440;5.780;11.980;9.680
83;0;DragonEscaped;13.060;13.060;0.000;0.000
84;0;Timer;35.741;5.740;17.340;12.660
85;1;null;25.540;11.280;9.440;4.820
86;0;DragonEscaped;9.120;9.120;0.000;0.000
87;1;null;33.841;5.680;4.400;23.760
88;0;Timer;36.541;6.540;30.001;0.000
89;1;null;9.840;5.820;1.080;2.940
90;1;null;23.440;8.740;5.220;9.480
91;0;DragonEscaped;14.680;14.680;0.000;0.000
92;1;null;26.480;6.500;6.800;13.180
93;0;Timer;36.821;6.820;30.001;0.000
94;0;DragonEscaped;11.080;11.080;0.000;0.000
95;1;null;20.960;7.480;3.340;10.140
96;0;Timer;33.481;3.480;30.001;0.000
97;0;Timer;38.741;8.740;30.001;0.000
98;0;DragonEscaped;10.340;10.340;0.000;0.000
99;0;DragonEscaped;11.760;11.760;0.000;0.000
100;1;null;16.960;3.280;9.940;3.740
101;0;Timer;38.661;8.660;30.001;0.000
102;0;DragonEscaped;10.280;10.280;0.000;0.000
103;0;Timer;34.521;4.520;26.600;3.400
104;0;Timer;37.601;7.600;18.900;11.100
105;0;Timer;35.021;5.020;4.880;25.120
106;0;Timer;35.201;5.200;30.001;0.000
107;0;DragonEscaped;14.160;14.160;0.000;0.000
108;0;DragonEscaped;10.380;10.380;0.000;0.000
109;0;DragonEscaped;10.080;10.080;0.000;0.000
110;1;null;29.420;7.140;15.740;6.540
111;1;null;12.660;5.460;1.600;5.600
112;1;null;32.121;8.580;12.020;11.520
113;0;DragonEscaped;9.360;9.360;0.000;0.000
114;0;DragonEscaped;10.140;10.140;0.000;0.000
115;1;null;27.480;5.500;18.640;3.340
116;1;null;26.580;15.600;7.040;3.940
117;0;DragonEscaped;14.880;14.880;0.000;0.000
118;0;DragonEscaped;12.160;12.160;0.000;0.000
119;0;DragonEscaped;10.460;10.460;0.000;0.000
120;0;Timer;41.241;11.240;19.060;10.940
121;0;DragonEscaped;13.780;13.780;0.000;0.000
122;0;DragonEscaped;14.180;14.180;0.000;0.000
123;1;null;15.200;5.400;6.660;3.140
124;1;null;28.320;8.680;15.980;3.660
125;0;Timer;34.841;4.840;30.001;0.000
126;1;null;19.560;4.560;5.840;9.160
127;1;null;23.980;6.880;1.480;15.620
128;1;null;30.661;4.180;20.580;5.900
129;1;null;18.920;5.320;5.680;7.920
130;0;DragonEscaped;11.160;11.160;0.000;0.000
131;0;Timer;36.641;6.640;19.900;10.100
132;0;Timer;35.641;5.640;30.001;0.000
133;1;null;30.541;7.600;18.900;4.040
134;0;DragonEscaped;11.660;11.660;0.000;0.000
135;1;null;10.420;5.320;1.520;3.580
136;1;null;18.820;8.080;5.120;5.620
137;0;DragonEscaped;8.700;8.700;0.000;0.000
138;1;null;24.620;6.260;13.720;4.640
139;1;null;15.580;6.760;2.880;5.940
140;0;Timer;35.221;5.220;1.920;28.080
141;0;DragonEscaped;10.400;10.400;0.000;0.000
142;0;Timer;35.641;5.640;30.001;0.000
143;1;null;17.580;6.260;9.680;1.640
144;0;DragonEscaped;9.820;9.820;0.000;0.000
145;0;DragonEscaped;12.440;12.440;0.000;0.000
146;0;DragonEscaped;11.620;11.620;0.000;0.000
147;0;DragonEscaped;12.720;12.720;0.000;0.000
148;0;DragonEscaped;10.160;10.160;0.000;0.000
149;1;null;12.180;6.040;4.760;1.380
150;0;Timer;39.281;9.280;14.960;15.040
151;0;Timer;37.221;7.220;30.001;0.000
152;0;Timer;39.861;9.860;18.820;11.180
153;1;null;20.900;6.300;3.940;10.660
154;1;null;26.180;11.220;12.480;2.480
155;1;null;10.740;3.460;0.660;6.620
156;0;DragonEscaped;8.160;8.160;0.000;0.000
157;1;null;19.500;5.600;13.540;0.360
158;0;Timer;33.601;3.600;13.000;17.000
159;1;null;21.720;8.380;5.880;7.460
160;0;DragonEscaped;12.800;12.800;0.000;0.000
161;0;Timer;39.681;9.680;30.001;0.000
162;0;DragonEscaped;11.040;11.040;0.000;0.000
163;0;Timer;35.581;5.580;1.400;28.600
164;1;null;29.180;9.780;15.100;4.300
165;0;DragonEscaped;10.680;10.680;0.000;0.000
166;1;null;31.181;5.100;16.840;9.240
167;0;DragonEscaped;10.280;10.280;0.000;0.000
168;0;DragonEscaped;11.940;11.940;0.000;0.000
169;1;null;16.940;5.540;6.120;5.280
170;1;null;24.680;5.140;6.320;13.220
171;0;DragonEscaped;13.880;13.880;0.000;0.000
172;1;null;15.460;4.520;0.520;10.420
173;1;null;9.840;7.140;1.660;1.040
174;0;DragonEscaped;9.900;9.900;0.000;0.000
175;1;null;14.020;5.420;5.420;3.180
176;0;Timer;38.321;8.320;23.800;6.200
177;0;DragonEscaped;12.700;12.700;0.000;0.000
178;1;null;40.361;10.580;25.200;4.580
179;1;null;32.421;5.400;11.760;15.260
180;1;null;27.260;0.980;1.680;24.600
181;0;Timer;40.301;10.300;30.001;0.000
182;1;null;23.640;12.380;1.060;10.200
183;0;Timer;35.661;5.660;30.001;0.000
184;0;Timer;34.001;4.000;30.001;0.000
185;1;null;11.460;4.520;1.280;5.660
186;1;null;17.860;8.740;4.340;4.780
187;0;Timer;36.601;6.600;30.001;0.000
188;0;DragonEscaped;11.240;11.240;0.000;0.000
189;0;DragonEscaped;10.280;10.280;0.000;0.000
190;0;DragonEscaped;8.920;8.920;0.000;0.000
191;1;null;17.260;7.020;2.720;7.520
192;1;null;26.780;10.500;7.840;8.440
193;1;null;8.640;6.680;0.560;1.400
194;0;DragonEscaped;11.040;11.040;0.000;0.000
195;1;null;15.760;7.600;3.060;5.100
196;0;DragonEscaped;8.580;8.580;0.000;0.000
197;1;null;31.281;18.580;6.900;5.800
198;1;null;36.981;12.440;13.640;10.900
199;0;Timer;41.561;11.560;8.340;21.660
200;0;Timer;37.281;7.280;21.500;8.500
201;1;null;14.380;7.160;0.600;6.620
202;0;Timer;44.741;14.740;26.320;3.680
203;0;DragonEscaped;12.580;12.580;0.000;0.000
204;0;Timer;42.361;12.380;29.981;0.000
205;0;Timer;35.481;5.480;30.001;0.000
206;0;Timer;34.441;4.440;28.260;1.740
207;1;null;15.680;8.580;2.920;4.180
208;1;null;23.280;8.020;6.660;8.600
209;0;DragonEscaped;9.200;9.200;0.000;0.000
210;1;null;36.301;10.140;3.280;22.880
211;0;Timer;36.461;6.460;22.420;7.580
212;0;DragonEscaped;10.500;10.500;0.000;0.000
213;0;DragonEscaped;10.900;10.900;0.000;0.000
214;1;null;13.420;4.300;5.500;3.620
215;0;DragonEscaped;12.080;12.080;0.000;0.000
216;0;DragonEscaped;15.520;15.520;0.000;0.000
217;1;null;22.920;4.840;10.560;7.520
218;0;Timer;36.081;6.080;24.020;5.980
219;0;Timer;37.181;7.180;30.001;0.000
220;1;null;15.280;5.660;7.060;2.560
221;1;null;22.400;5.200;16.040;1.160
222;1;null;27.120;5.180;1.780;20.160
223;0;Timer;38.761;8.760;30.001;0.000
224;0;Timer;35.001;4.980;30.021;0.000
225;1;null;18.960;7.220;5.780;5.960
226;0;Timer;39.201;9.200;28.140;1.860
227;1;null;33.021;3.360;21.880;7.780
228;1;null;30.121;4.820;8.340;16.960
229;1;null;33.941;13.220;14.680;6.040
230;1;null;38.921;12.660;16.080;10.180
231;0;Timer;38.521;8.540;17.220;12.760
232;0;DragonEscaped;9.960;9.960;0.000;0.000
233;0;Timer;34.541;4.540;30.001;0.000
234;1;null;25.080;10.640;8.300;6.140
235;0;DragonEscaped;9.240;9.240;0.000;0.000
236;1;null;17.500;4.140;5.980;7.380
237;0;Timer;38.321;8.320;30.001;0.000
238;0;Timer;36.601;6.600;30.001;0.000
239;1;null;9.660;3.260;2.960;3.440
240;0;DragonEscaped;11.680;11.680;0.000;0.000
241;1;null;13.480;5.560;6.400;1.520
242;1;null;33.381;5.680;11.080;16.620
243;1;null;17.980;8.860;4.360;4.760
244;0;DragonEscaped;11.400;11.400;0.000;0.000
245;0;Timer;39.401;9.400;30.001;0.000
246;1;null;37.621;9.240;26.200;2.180
247;1;null;23.080;10.140;1.980;10.960
248;0;Timer;40.061;10.060;27.240;2.760
249;1;null;28.380;7.340;16.200;4.840
250;1;null;32.341;6.180;21.840;4.320
251;1;null;13.360;2.880;6.360;4.120
252;1;null;20.480;6.980;11.120;2.380
253;1;null;12.420;4.780;2.840;4.800
