episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;0;0;0;-1;6;21.864;1.535;2.982;5.59;2.94;5.88
1;Introvert;4;1;1;8.14;5;42.468;3;2.702;5.827;0.02;8.68
1;NonConscientious;2;1;0;-1;7;22.952;1.963;2.367;3.858;0.82;7.88
1;Neurotic;0;0;0;-1;2;14.764;0.21;3.138;7.637;1.62;2.72
2;Extrovert;0;0;0;-1;2;20.495;0.277;2.575;5.667;2.22;5.68
2;Introvert;6;2;1;4.502;4;28.9;3;2.838;3.249;0.32;5.3
2;NonConscientious;0;0;0;-1;4;20.355;1.493;3.128;6.527;0.52;6.42
2;Neurotic;0;0;0;-1;2;19.016;0.77;2.881;6.14;0.84;3.1
3;Extrovert;1;0;0;-1;4;19.293;1.151;2.171;4.679;2.22;12.2
3;Introvert;4;2;1;5.459;5;33.096;3;2.924;5.364;0.22;4.72
3;NonConscientious;1;0;0;-1;2;26.098;3;3.169;4.593;0.72;6.84
3;Neurotic;0;0;0;-1;3;13.903;0.49;2.69;6.284;1.22;6.82
4;Extrovert;0;0;0;-1;11;29.45;0.603;2.168;5.606;3.54;18.4
4;Introvert;2;2;1;16.682;11;54.139;3;3.171;5.563;0.32;5.78
4;NonConscientious;3;0;0;-1;21;32.427;1.435;2.205;3.01;0.52;13.06
4;Neurotic;1;0;0;-1;13;19.351;0.381;2.266;4.352;1.64;15.9
5;Extrovert;0;0;0;-1;13;27.746;1.458;2.484;4.651;3.78;13.18
5;Introvert;2;1;1;11.082;3;49.371;3;2.734;5.89;0.22;4.64
5;NonConscientious;4;1;0;-1;12;37.165;1.111;2.429;4.077;1.02;10.94
5;Neurotic;0;0;0;-1;8;19.47;0.691;2.743;8.72;1.52;11.96
6;Extrovert;2;2;0;-1;7;22.489;0.706;2.174;5.113;2.52;12.94
6;Introvert;2;0;1;3.221;2;35.544;3;2.405;5.006;0.3;5.76
6;NonConscientious;2;0;0;-1;4;25.491;1.318;2.188;4.278;0.4;12.52
6;Neurotic;0;0;0;-1;1;19.761;1.731;3.327;8.92;0.8;2.44
7;Extrovert;0;0;0;-1;5;22.2;1.043;2.808;4.564;1.14;7.06
7;Introvert;4;2;1;6.061;5;29.322;2.051;2.274;4.486;0.3;8.2
7;NonConscientious;0;0;0;-1;6;22.116;0.141;2.347;4.014;0.8;6.16
7;Neurotic;2;0;0;-1;0;14.197;0.721;3.968;6.055;0.7;0.32
8;Extrovert;0;0;0;-1;6;12.207;0.677;2.663;6.287;4.24;9.92
8;Introvert;1;1;1;4.04;2;37.306;3;3.597;6.528;0.12;5.02
8;NonConscientious;5;1;0;-1;3;27.085;0.731;2.649;4.139;0.52;5.56
8;Neurotic;0;0;0;-1;5;9.425;0.047;2.887;7.152;1.68;9.1
9;Extrovert;0;0;0;-1;4;19.731;0.161;3.322;4.844;1.74;6.38
9;Introvert;5;2;1;3.9;4;29.502;3;3.124;6.443;0.22;6.02
9;NonConscientious;1;0;0;-1;4;19.439;2.825;3.864;5.951;0.52;3.4
9;Neurotic;0;0;0;-1;2;15.479;0.765;3.91;6.56;0.92;3.02
10;Extrovert;1;0;0;-1;6;17.543;0.276;2.153;4.369;1.48;7.7
10;Introvert;3;1;0;-1;7;25.968;3;3.119;6.811;0.82;3.18
10;NonConscientious;0;0;0;-1;11;19.234;1.503;1.721;6.528;0.52;9.32
10;Neurotic;0;0;0;-1;6;16.603;2.112;2.108;8.372;0.62;7.3
11;Extrovert;0;0;0;-1;2;20.457;0.003;2.156;5.887;2.22;7.7
11;Introvert;3;1;1;2.401;2;32.679;3;2.656;5.349;0.3;5.86
11;NonConscientious;1;0;0;-1;1;24.841;0.817;2.321;6.638;0.3;5.04
11;Neurotic;2;1;0;-1;1;13.655;0.749;2.675;5.489;1.3;5.42
12;Extrovert;3;0;0;-1;0;17.716;2.393;5.236;2.719;0.52;0.84
12;Introvert;3;2;1;1.159;1;19.481;3;3.718;7.122;0.02;1.64
12;NonConscientious;0;0;0;-1;3;7.94;2.475;4.208;13.64;0.52;4.78
12;Neurotic;0;0;0;-1;4;10.774;1.491;3.688;11.354;0.62;5.58
13;Extrovert;1;1;0;-1;4;14.992;0.396;2.926;4.048;1.46;4.8
13;Introvert;3;1;1;2.32;1;28.962;3;2.899;3.991;0;1.62
13;NonConscientious;2;0;0;-1;5;13.36;0.874;2.712;5.358;0.3;6.68
13;Neurotic;0;0;0;-1;0;10.062;0.201;3.967;7.48;0.8;1.62
14;Extrovert;2;1;0;-1;8;23.715;2.599;3.49;8.234;0.7;4.38
14;Introvert;2;1;1;4.459;1;29.384;3;3.791;6.102;0.52;1.9
14;NonConscientious;2;0;0;-1;13;13.234;2.032;2.643;4.215;0.52;10.28
14;Neurotic;0;0;0;-1;8;8.839;1.916;2.99;5.221;0.92;7.3
15;Extrovert;0;0;0;-1;5;21.089;2.059;2.846;8.313;2.92;5.64
15;Introvert;5;1;1;6.281;1;39.966;3;3.588;5.649;0.52;3.26
15;NonConscientious;1;1;0;-1;0;26.251;3;2.842;6.923;0.42;4.44
15;Neurotic;0;0;0;-1;4;18.281;0.63;3.035;7.575;0.82;4.72
16;Extrovert;0;0;0;-1;14;12.298;0.001;1.679;10.165;2;14.66
16;Introvert;6;2;1;6.759;0;32.48;3;3.313;6.626;0.02;2.06
16;NonConscientious;0;0;0;-1;12;13.644;2.567;1.695;10.336;0.52;14.2
16;Neurotic;0;0;0;-1;8;18.438;0.155;1.792;7.908;1.22;11.74
17;Extrovert;1;1;0;-1;4;37.89;0.001;3.131;5.91;7.14;5.5
17;Introvert;5;1;0;-1;0;25.902;3;4.434;2.422;0.32;0.78
17;NonConscientious;0;0;0;-1;5;42.32;0.288;3.152;8.27;1.22;13.28
17;Neurotic;0;0;0;-1;5;24.019;2.048;4.113;11.138;0.82;10.36
18;Extrovert;1;0;0;-1;2;15.7;0.003;3.25;3.993;2.32;2.56
18;Introvert;5;2;1;1;2;27.16;3;3.079;5.399;0;2.78
18;NonConscientious;0;0;0;-1;4;13.886;0.753;2.694;8.403;0.2;5.3
18;Neurotic;0;0;0;-1;4;10.102;0.414;3.267;10.15;0.5;5.52
19;Extrovert;0;0;0;-1;4;21.381;0.035;3.009;6.7;2.86;3.86
19;Introvert;5;1;1;1.658;3;38.461;3;3.061;3.565;0.12;5.44
19;NonConscientious;1;1;0;-1;3;17.739;1.398;3.261;9.839;0.52;4.96
19;Neurotic;0;0;0;-1;0;16.628;0.529;3.355;6.565;1.32;1.66
20;Extrovert;0;0;1;3.821;6;29.6;0.86;3.485;7.458;7.54;8.8
20;Introvert;0;0;0;-1;5;87.626;3;3.225;6.864;0.42;8.9
20;NonConscientious;5;1;0;-1;9;48.878;0.399;2.951;4.588;1.82;13.96
20;Neurotic;1;1;0;-1;4;21.269;0.662;3.55;5.936;4.46;7.7
21;Extrovert;0;0;0;-1;7;19.642;0.988;2.028;6.248;1.64;7.52
21;Introvert;5;1;1;4.676;3;35.683;3;2.977;4.755;0.22;3.02
21;NonConscientious;1;1;0;-1;6;21.699;1.557;2.297;5.953;0.62;6.76
21;Neurotic;0;0;0;-1;6;15.094;0.805;2.78;8.006;0.72;6.5
22;Extrovert;1;1;0;-1;6;21.43;0.019;2.621;3.828;2.24;10.58
22;Introvert;4;1;1;2.681;4;25.923;3;2.836;7.719;0.22;6.12
22;NonConscientious;0;0;0;-1;2;18.453;1.145;3.927;10.052;0.52;2.78
22;Neurotic;1;0;0;-1;4;19.902;0.397;2.874;4.198;1.22;8.3
23;Extrovert;2;1;0;-1;8;16.076;0.482;2.209;5.436;4.44;8.28
23;Introvert;4;1;1;2.161;0;34.598;3;2.592;4.5;0.6;1.8
23;NonConscientious;0;0;0;-1;6;21.589;2.249;2.342;7.063;0.7;5.12
23;Neurotic;0;0;0;-1;2;11.271;1.518;2.651;5.731;0.8;4.38
24;Extrovert;0;0;0;-1;0;15.179;0.801;3.072;7.332;1.82;4.04
24;Introvert;2;1;1;1.24;2;20.052;3;3.67;4.893;0.22;1.6
24;NonConscientious;4;1;0;-1;2;17.152;1.907;3.367;2.794;0.32;1.6
24;Neurotic;0;0;0;-1;0;11.131;0.324;3.473;8.782;0.72;4.04
25;Extrovert;0;0;0;-1;2;18.335;0.774;2.926;7.979;1.9;3.24
25;Introvert;5;2;1;4.979;1;28.846;3;3.15;4.504;0.06;2.1
25;NonConscientious;1;0;0;-1;2;20.814;1.086;2.915;3.67;0.62;2.64
25;Neurotic;0;0;0;-1;1;13.814;0.007;2.634;5.436;0.5;3.24
26;Extrovert;4;1;0;-1;7;18.031;1.472;1.986;3.654;3.22;7.94
26;Introvert;1;0;1;4.201;4;38.749;2.245;2.036;5.491;0.12;6.88
26;NonConscientious;0;0;0;-1;9;25.871;0.053;2.189;6.612;0.7;7.64
26;Neurotic;1;1;0;-1;6;16.812;0.002;2.059;4.651;1;6.64
27;Extrovert;0;0;0;-1;31;35.529;0.319;2.246;5.248;5.68;31.761
27;Introvert;2;1;0;-1;6;28.744;3;3.964;5.16;0.32;8.88
27;NonConscientious;2;1;0;-1;22;46.111;2.329;2.255;4.522;1.62;20.06
27;Neurotic;2;0;0;-1;11;23.093;1.21;3.015;4.944;3.82;20.1
28;Extrovert;0;0;0;-1;1;20.078;1.524;3.286;9.063;1.32;1.26
28;Introvert;3;0;1;4.439;3;25.388;3;2.743;4.958;0.02;3.66
28;NonConscientious;1;1;0;-1;2;20.327;2.929;2.844;4.791;0.52;1.52
28;Neurotic;2;1;0;-1;0;11.305;0.096;2.637;3.388;0.58;2.3
29;Extrovert;0;0;0;-1;3;21.461;0.014;3.339;5.546;4.26;3.24
29;Introvert;4;2;1;5.581;2;39.069;2.63;3.042;5.952;0.32;2.82
29;NonConscientious;2;0;0;-1;5;28.172;1.316;2.69;7.039;0.72;10.88
29;Neurotic;0;0;0;-1;2;17.706;0.532;3.329;8.409;2.12;7.46
30;Extrovert;1;0;0;-1;9;21.654;0.447;2.267;5.354;4.16;22.08
30;Introvert;2;1;1;10.481;4;50.525;3;2.727;5.854;0.32;10.12
30;NonConscientious;2;0;0;-1;3;31.9;3;2.838;4.923;0.82;9.72
30;Neurotic;1;1;0;-1;8;15.402;2.45;2.555;6.488;1.42;20.94
31;Extrovert;2;1;0;-1;2;17.978;1.152;2.51;3.904;1.32;4.22
31;Introvert;2;0;1;1.96;1;26.747;3;3.071;6.698;0.22;3.1
31;NonConscientious;2;1;0;-1;3;18.777;2.67;2.344;4.265;0.42;2.76
31;Neurotic;0;0;0;-1;0;13.825;0.734;3.28;7.629;1.52;0
32;Extrovert;0;0;0;-1;0;11.298;0.002;3.54;5.722;3.1;0.3
32;Introvert;2;1;1;4.279;0;28.935;3;2.673;5.518;0.42;1.82
32;NonConscientious;2;0;0;-1;0;25.908;0.171;2.846;5.527;0.32;1.52
32;Neurotic;2;1;0;-1;0;9.022;1.267;3.181;3.722;0.92;0.6
33;Extrovert;0;0;0;-1;8;19.23;1.397;2.335;5.912;2.14;6.1
33;Introvert;6;2;1;5.12;2;32.65;3;3.045;3.651;0;2.28
