episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;19.18;5.04;8.14;6
2;1;null;13.66;5.02;4.5;4.14
3;1;null;17.04;4.68;5.46;6.9
4;1;null;22.98;2.8;16.68;3.5
5;1;null;23.44;6.24;11.08;6.12
6;1;null;17.7;12.06;3.22;2.42
7;1;null;14.28;3.32;6.06;4.9
8;1;null;15.18;7.44;4.04;3.7
9;1;null;13.4;6.12;3.9;3.38
10;0;DragonEscaped;10.94;10.94;0;0
11;1;null;13.58;8.42;2.4;2.76
12;1;null;7.42;4.42;1.16;1.84
13;1;null;9.12;3.88;2.32;2.92
14;1;null;11.12;4.7;4.46;1.96
15;1;null;18.08;6.1;6.28;5.7
16;1;null;14.66;6.22;6.76;1.68
17;0;Timer;36.021;6.02;30.001;0
18;1;null;11.24;4.88;1;5.36
19;1;null;15.14;7.4;1.66;6.08
20;0;Timer;37.501;7.5;3.82;26.18
21;1;null;14.06;3.76;4.66;5.64
22;1;null;14.26;6.18;2.68;5.4
23;1;null;15.52;7.14;2.16;6.22
24;1;null;7.72;2.16;1.24;4.32
25;1;null;11.24;2.2;4.98;4.06
26;1;null;16.5;5.86;4.2;6.44
27;0;Timer;34.201;4.18;30.021;0
28;1;null;10.86;4.62;4.44;1.8
29;1;null;19.34;6.04;5.58;7.72
30;1;null;23.4;6.24;10.48;6.68
31;1;null;11.34;6.38;1.96;3
32;1;null;12.48;5;4.28;3.2
33;1;null;13.66;4.66;5.12;3.88
34;1;null;9.46;5.04;0.64;3.78
35;1;null;10.78;5.38;1.76;3.64
36;0;Timer;36.041;6.04;30.001;0
37;1;null;12.42;4.04;2.42;5.96
38;1;null;20.14;10.18;5.06;4.9
39;1;null;16.26;4.12;6.94;5.2
40;1;null;11.78;5.6;1.02;5.16
41;1;null;23.4;6.22;16.34;0.84
42;1;null;20.84;10.66;4.38;5.8
43;0;Timer;40.001;10;1.56;28.44
44;1;null;11.22;4.64;2.38;4.2
45;0;DragonEscaped;8.66;8.66;0;0
46;1;null;7.58;2.14;2.76;2.68
47;1;null;20.62;8.5;8.02;4.1
48;1;null;14.16;3.4;4.32;6.44
49;1;null;13.58;8.14;1.82;3.62
50;0;DragonEscaped;10.26;10.26;0;0
51;1;null;18.86;6.64;6.62;5.6
52;1;null;9.94;4.54;2.48;2.92
53;1;null;10.14;5.38;2.98;1.78
54;1;null;13.86;6.58;2.64;4.64
55;1;null;17.56;6.7;4.56;6.3
56;1;null;19.32;7.04;6.58;5.7
57;1;null;15.18;5.52;7.24;2.42
58;1;null;15.76;8.56;5.3;1.9
59;1;null;5.78;1.12;4.24;0.42
60;1;null;12.06;3.76;3.28;5.02
61;1;null;12.86;4.9;1.64;6.32
62;1;null;12.28;4.56;5.26;2.46
63;0;DragonEscaped;8.46;8.46;0;0
64;1;null;17.62;6.06;9.96;1.6
65;1;null;18.42;8.1;5.8;4.52
66;1;null;24.46;8.08;7.28;9.1
67;1;null;8.12;3.52;1.44;3.16
68;1;null;8.2;3.34;2.96;1.9
69;1;null;15.4;7.02;1.18;7.2
70;1;null;13.48;5.3;2.9;5.28
71;0;DragonEscaped;9.94;9.94;0;0
72;1;null;9.8;5.82;0.88;3.1
73;1;null;12.34;6;4;2.34
74;1;null;13.24;5.8;0.94;6.5
75;1;null;22.34;10.96;7.22;4.16
76;1;null;7.28;3.36;1.96;1.96
77;1;null;22.18;8.1;2.74;11.34
78;1;null;25.28;8.68;14.9;1.7
79;1;null;11.94;4.28;6.38;1.28
80;1;null;19.18;8.84;5.04;5.3
81;1;null;14.46;6.18;5.04;3.24
82;1;null;24.88;7.2;10.08;7.6
83;1;null;12.22;4.08;1.5;6.64
84;1;null;13.76;4.06;0.38;9.32
85;1;null;11.14;5.76;2.08;3.3
86;1;null;15.38;10.44;1;3.94
87;1;null;22.58;7.64;7.94;7
88;1;null;11.12;7.46;1.02;2.64
89;1;null;11.8;4.24;7;0.56
90;1;null;19.22;5.42;11.88;1.92
91;1;null;12.96;5.2;6.74;1.02
92;1;null;11;6.64;1.8;2.56
93;1;null;15.82;6.34;5.32;4.16
94;1;null;15.54;7.36;1.92;6.26
95;1;null;13.16;6.52;3.36;3.28
96;1;null;10.34;2.8;5.04;2.5
97;1;null;11.86;4.54;1.5;5.82
98;1;null;18.82;7.92;6.32;4.58
99;0;DragonEscaped;11.36;11.36;0;0
100;0;DragonEscaped;9.92;9.92;0;0
101;0;Timer;34.341;4.34;30.001;0
102;1;null;17.06;6.08;7.1;3.88
103;1;null;16.14;4.54;5.7;5.9
104;1;null;10.52;3.92;0.72;5.88
105;1;null;10.98;3.44;3.72;3.82
106;1;null;10.62;4.68;2.62;3.32
107;1;null;13.92;3.8;4.18;5.94
108;0;DragonEscaped;9.3;9.3;0;0
109;1;null;18.52;6.14;1.36;11.02
110;1;null;15.72;3.78;10.64;1.3
111;1;null;14.52;6.96;5.22;2.34
112;1;null;15.54;3.66;9.32;2.56
113;1;null;15.4;11.14;1.18;3.08
114;1;null;22.7;5.52;3.08;14.1
115;1;null;13.6;4.56;8.1;0.94
116;1;null;14.46;10.2;3.82;0.44
117;1;null;7.8;5.66;1.2;0.94
118;0;Timer;32.501;2.5;14.8;15.2
119;1;null;18.84;3.5;8.94;6.4
120;1;null;14.06;6.72;2.46;4.88
121;1;null;7.2;5.5;0.88;0.82
122;1;null;14.42;6.46;4.8;3.16
123;1;null;8.34;2.96;4.12;1.26
124;1;null;16.54;6.26;5.38;4.9
125;1;null;14.94;6.84;3.78;4.32
126;1;null;13.68;4.4;3.12;6.16
127;1;null;21.88;4.9;12.12;4.86
128;1;null;15.4;5.8;2.68;6.92
129;1;null;21.04;4.5;8.68;7.86
