episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Extrovert;0;0;0;-1.000;0;18.662;0.491;4.260;5.353;2.820;0.660
1;NonAgreeable;2;1;0;-1.000;8;30.061;3.000;2.626;6.125;0.140;9.960
1;Conscientious;4;1;0;-1.000;8;18.057;0.641;3.193;3.658;0.820;7.560
1;Introvert;0;0;1;3.722;4;26.847;2.412;3.102;7.317;0.320;4.600
2;Extrovert;0;0;0;-1.000;1;14.267;1.490;3.415;8.126;3.620;2.280
2;NonAgreeable;3;1;1;1.380;3;29.741;3.000;2.983;5.353;0.320;4.760
2;Conscientious;2;0;0;-1.000;2;14.902;2.202;2.791;5.236;1.020;5.060
2;Introvert;1;1;0;-1.000;2;18.161;2.471;3.133;6.691;0.720;5.740
3;Extrovert;0;0;0;-1.000;0;15.736;0.003;3.390;6.372;3.140;2.180
3;NonAgreeable;1;1;1;3.001;1;29.964;3.000;3.244;8.268;0.300;2.140
3;Conscientious;4;0;0;-1.000;1;19.287;1.380;2.915;3.737;0.200;3.360
3;Introvert;1;1;0;-1.000;0;24.906;0.114;3.582;8.185;0.100;1.120
4;Extrovert;0;0;0;-1.000;0;20.291;0.021;4.534;6.172;2.820;0.940
4;NonAgreeable;5;1;1;4.240;2;29.752;3.000;3.670;6.118;0.620;3.600
4;Conscientious;0;0;0;-1.000;0;15.068;0.725;3.925;6.695;0.820;0.580
4;Introvert;1;1;0;-1.000;2;19.081;0.637;3.662;6.062;0.620;3.240
5;Extrovert;1;0;0;-1.000;2;9.995;0.757;2.229;4.402;1.100;3.800
5;NonAgreeable;2;1;1;4.279;2;25.480;1.635;2.823;4.752;0.000;2.560
5;Conscientious;3;1;0;-1.000;1;11.770;0.093;2.696;4.177;0.320;3.000
5;Introvert;0;0;0;-1.000;1;10.921;0.784;2.796;6.498;0.500;1.060
6;Extrovert;0;0;0;-1.000;9;12.798;0.000;2.520;3.911;3.640;9.560
