episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;15.660;4.120;3.720;7.820
2;1;null;13.240;8.520;1.380;3.340
3;1;null;13.320;4.640;3.000;5.680
4;1;null;12.980;4.460;4.240;4.280
5;1;null;8.220;3.300;4.280;0.640
6;1;null;19.060;1.820;9.780;7.460
7;1;null;12.440;5.660;3.300;3.480
8;0;Timer;32.841;2.840;8.640;21.360
9;1;null;10.640;3.180;2.980;4.480
10;1;null;8.100;6.620;0.940;0.540
11;1;null;17.240;8.040;4.240;4.960
12;1;null;8.260;4.160;1.320;2.780
13;1;null;15.540;6.360;2.720;6.460
14;1;null;27.720;3.520;1.300;22.900
15;1;null;14.160;5.100;7.300;1.760
16;0;Timer;36.101;6.100;2.960;27.040
17;1;null;15.300;6.180;0.580;8.540
18;1;null;21.400;6.380;9.260;5.760
19;1;null;14.500;5.020;6.340;3.140
20;1;null;15.920;4.220;6.280;5.420
21;1;null;9.440;5.900;0.900;2.640
22;0;DragonEscaped;9.880;9.880;0.000;0.000
23;1;null;12.700;4.540;1.880;6.280
24;1;null;24.520;9.160;14.080;1.280
25;1;null;15.360;4.780;7.900;2.680
26;1;null;12.700;4.760;2.100;5.840
27;1;null;9.400;4.780;3.260;1.360
28;1;null;14.840;7.120;3.220;4.500
29;1;null;11.700;3.360;4.580;3.760
30;1;null;12.020;6.360;1.940;3.720
31;1;null;24.660;6.260;14.980;3.420
32;1;null;12.520;5.600;2.860;4.060
33;1;null;23.520;3.560;13.100;6.860
34;1;null;18.120;3.560;5.220;9.340
35;1;null;14.960;3.080;5.960;5.920
36;1;null;9.440;2.560;1.340;5.540
37;1;null;15.660;4.100;5.660;5.900
38;1;null;9.160;3.560;3.300;2.300
39;1;null;17.580;6.180;1.760;9.640
40;1;null;23.520;7.960;11.640;3.920
41;1;null;17.480;6.940;6.200;4.340
42;1;null;8.700;6.620;1.000;1.080
43;1;null;11.040;7.540;2.080;1.420
44;1;null;11.960;6.540;0.760;4.660
45;1;null;11.780;3.580;0.720;7.480
46;1;null;18.520;2.260;8.140;8.120
47;1;null;10.300;3.000;6.160;1.140
48;1;null;10.620;4.960;3.100;2.560
49;1;null;5.580;3.600;1.240;0.740
50;1;null;8.960;4.860;2.920;1.180
51;1;null;13.440;5.400;4.420;3.620
52;1;null;18.600;6.240;7.860;4.500
53;0;DragonEscaped;8.600;8.600;0.000;0.000
54;1;null;26.260;6.440;16.560;3.260
55;1;null;12.700;4.540;4.400;3.760
56;1;null;24.480;8.780;5.680;10.020
57;1;null;18.020;3.380;1.700;12.940
58;1;null;15.460;3.160;5.720;6.580
59;1;null;12.300;6.840;1.840;3.620
60;1;null;10.920;5.460;4.820;0.640
61;1;null;14.060;7.120;2.540;4.400
62;1;null;18.100;6.300;1.780;10.020
63;1;null;22.720;2.600;0.780;19.340
64;1;null;22.420;6.680;8.460;7.280
65;1;null;17.680;5.380;7.940;4.360
66;1;null;34.001;5.280;1.000;27.720
67;1;null;12.240;2.360;2.820;7.060
68;1;null;14.060;6.600;0.920;6.540
69;1;null;15.200;6.480;2.860;5.860
70;1;null;10.960;4.340;3.260;3.360
71;1;null;14.060;3.580;2.440;8.040
72;1;null;10.680;4.880;2.320;3.480
73;1;null;11.660;5.600;3.260;2.800
74;1;null;12.620;3.620;3.900;5.100
75;1;null;20.220;2.840;9.620;7.760
76;1;null;9.340;6.160;0.700;2.480
77;0;Timer;33.541;3.540;0.900;29.100
78;1;null;18.520;3.760;11.700;3.060
79;1;null;9.480;3.820;1.000;4.660
80;1;null;18.580;9.060;2.620;6.900
81;1;null;11.280;4.780;2.700;3.800
82;1;null;9.340;3.080;1.880;4.380
83;1;null;10.340;5.340;3.640;1.360
84;1;null;15.660;9.940;2.420;3.300
