episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;15.160;4.880;2.540;7.740
2;0;DragonEscaped;13.720;13.720;0.000;0.000
3;0;DragonEscaped;9.140;9.140;0.000;0.000
4;1;null;29.680;6.200;2.800;20.680
5;0;DragonEscaped;11.380;11.380;0.000;0.000
6;1;null;16.440;4.800;1.760;9.880
7;1;null;18.500;5.540;1.160;11.800
8;1;null;20.220;10.720;5.140;4.360
9;1;null;31.401;9.420;16.260;5.720
10;0;DragonEscaped;13.680;13.680;0.000;0.000
11;1;null;29.320;5.480;14.260;9.580
12;0;DragonEscaped;13.260;13.260;0.000;0.000
13;1;null;19.500;3.560;2.540;13.400
14;1;null;31.601;9.380;19.220;3.000
15;1;null;30.961;4.340;2.920;23.700
16;1;null;23.560;6.900;5.740;10.920
17;1;null;8.420;5.860;0.400;2.160
18;1;null;10.640;6.620;0.600;3.420
19;1;null;15.780;8.960;0.920;5.900
20;0;Timer;35.941;5.940;30.001;0.000
21;1;null;16.200;10.120;4.760;1.320
22;1;null;19.900;8.960;3.560;7.380
23;1;null;25.740;6.060;16.700;2.980
24;0;Timer;34.761;4.760;1.380;28.620
25;1;null;11.900;6.160;1.300;4.440
26;1;null;21.440;10.480;7.000;3.960
27;0;Timer;39.941;9.940;30.001;0.000
28;1;null;12.120;5.120;2.140;4.860
29;1;null;21.340;6.060;2.560;12.720
30;1;null;38.741;11.900;0.380;26.460
31;0;Timer;33.181;3.180;1.840;28.160
32;1;null;10.340;5.120;2.340;2.880
33;0;Timer;31.561;1.560;28.840;1.160
34;1;null;8.160;4.120;1.520;2.520
35;0;Timer;34.461;4.460;2.880;27.120
36;0;Timer;35.601;5.600;1.120;28.880
37;1;null;22.080;16.440;4.980;0.660
38;0;DragonEscaped;9.500;9.500;0.000;0.000
39;1;null;13.640;5.960;7.080;0.600
40;1;null;15.740;0.880;2.580;12.280
41;1;null;18.400;4.220;9.120;5.060
42;1;null;19.680;5.540;4.800;9.340
43;0;Timer;38.081;8.080;30.001;0.000
44;1;null;23.920;2.160;4.340;17.420
45;1;null;14.700;3.460;7.560;3.680
46;0;Timer;39.201;9.200;2.860;27.140
47;0;Timer;34.541;4.560;3.040;26.940
48;0;Timer;34.641;4.640;30.001;0.000
49;1;null;10.020;6.480;1.860;1.680
50;1;null;20.380;5.580;9.840;4.960
51;1;null;34.781;5.660;4.580;24.540
52;1;null;31.141;5.180;3.920;22.040
53;1;null;11.620;6.460;1.260;3.900
54;1;null;29.640;6.560;9.500;13.580
55;0;DragonEscaped;11.400;11.400;0.000;0.000
56;1;null;27.700;6.860;16.120;4.720
57;0;Timer;33.161;3.140;1.380;28.640
58;1;null;17.560;3.940;4.340;9.280
59;1;null;13.780;6.280;2.620;4.880
60;0;DragonEscaped;9.780;9.780;0.000;0.000
61;1;null;14.440;4.820;8.660;0.960
62;1;null;15.880;4.840;3.580;7.460
63;0;Timer;36.681;6.680;0.540;29.460
64;1;null;18.300;6.040;9.380;2.880
65;1;null;20.140;7.140;9.580;3.420
66;1;null;19.900;6.580;5.100;8.220
67;1;null;10.660;2.640;1.080;6.940
68;0;Timer;36.441;6.440;0.920;29.080
69;0;DragonEscaped;9.280;9.280;0.000;0.000
70;1;null;14.120;3.580;2.820;7.720
71;1;null;33.481;9.780;0.980;22.720
72;1;null;15.880;1.500;1.720;12.660
73;0;Timer;42.381;12.400;3.660;26.320
74;0;Timer;33.121;3.120;4.600;25.400
75;0;DragonEscaped;13.300;13.300;0.000;0.000
76;1;null;18.400;11.940;4.240;2.220
77;1;null;9.160;4.160;0.600;4.400
78;0;Timer;36.001;6.000;1.640;28.360
79;1;null;8.060;4.720;1.620;1.720
80;1;null;11.840;5.880;1.640;4.320
81;1;null;21.200;5.640;9.140;6.420
82;1;null;31.141;9.980;9.040;12.120
83;1;null;27.900;12.420;11.280;4.200
84;0;Timer;40.701;10.700;3.260;26.740
85;1;null;11.780;3.320;5.040;3.420
86;1;null;27.220;6.380;14.720;6.120
87;1;null;35.441;13.340;13.100;9.000
88;1;null;12.240;6.080;2.540;3.620
89;0;Timer;35.541;5.540;3.380;26.620
90;0;DragonEscaped;10.780;10.780;0.000;0.000
91;1;null;18.020;7.960;1.180;8.880
92;0;Timer;39.201;9.200;29.120;0.880
93;1;null;19.600;8.920;2.660;8.020
94;0;DragonEscaped;9.500;9.500;0.000;0.000
95;1;null;30.061;8.640;5.360;16.060
96;1;null;13.480;3.960;2.600;6.920
97;1;null;24.380;9.960;12.520;1.900
98;0;DragonEscaped;11.320;11.320;0.000;0.000
99;1;null;10.380;5.980;1.160;3.240
100;1;null;11.480;2.460;0.840;8.180
101;1;null;5.640;3.340;1.520;0.780
102;1;null;12.060;6.120;1.720;4.220
103;0;Timer;41.341;11.340;30.001;0.000
104;1;null;9.100;2.660;3.980;2.460
105;1;null;18.560;4.520;1.840;12.200
106;0;DragonEscaped;9.740;9.740;0.000;0.000
107;0;Timer;32.461;2.460;0.760;29.240
108;1;null;14.740;9.180;1.660;3.900
109;0;DragonEscaped;12.840;12.840;0.000;0.000
110;0;Timer;36.301;6.300;0.620;29.380
111;0;DragonEscaped;8.940;8.940;0.000;0.000
112;1;null;15.780;6.680;4.420;4.680
113;0;Timer;37.821;7.820;30.001;0.000
