episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Intro_Leader;4;1;0;-1.000;8;52.335;1.407;3.641;7.374;1.180;13.420
1;Intro_Balanced1;0;0;0;-1.000;1;16.582;0.946;4.693;9.487;2.320;0.560
1;Intro_Balanced2;1;1;1;1.800;7;39.232;2.755;4.531;9.122;2.020;12.280
1;Intro_Iso;1;0;0;-1.000;0;15.494;2.203;4.599;5.724;2.020;0.740
2;Intro_Leader;3;1;0;-1.000;4;30.831;2.599;3.194;5.525;0.640;3.460
2;Intro_Balanced1;2;1;1;3.581;4;27.463;1.321;3.568;7.535;0.220;2.960
2;Intro_Balanced2;1;0;0;-1.000;0;17.657;0.004;3.081;5.865;1.020;0.500
2;Intro_Iso;0;0;0;-1.000;0;17.227;0.710;4.277;9.838;0.620;0.000
3;Intro_Leader;4;1;1;1.261;3;27.641;2.599;3.505;4.657;0.220;7.760
3;Intro_Balanced1;1;0;0;-1.000;1;14.329;0.417;3.446;6.625;1.100;3.640
3;Intro_Balanced2;1;1;0;-1.000;2;15.885;1.537;3.507;10.672;0.400;4.880
3;Intro_Iso;0;0;0;-1.000;0;13.660;1.546;4.172;11.002;0.500;0.000
4;Intro_Leader;5;2;0;-1.000;6;82.362;2.599;3.923;6.595;1.060;7.480
4;Intro_Balanced1;1;0;0;-1.000;8;37.952;2.140;3.155;7.025;2.400;11.460
4;Intro_Balanced2;0;0;0;-1.000;2;34.242;0.457;3.793;7.288;2.720;3.560
4;Intro_Iso;0;0;1;3.580;8;51.398;3.000;3.802;8.928;1.620;11.700
5;Intro_Leader;3;1;0;-1.000;5;29.834;2.599;3.388;3.670;0.440;2.740
5;Intro_Balanced1;1;1;0;-1.000;4;17.117;0.061;4.290;6.357;0.280;2.560
5;Intro_Balanced2;0;0;1;0.501;0;21.521;1.550;4.295;9.090;0.420;0.000
5;Intro_Iso;2;0;0;-1.000;1;16.244;1.133;2.997;3.836;0.600;1.200
6;Intro_Leader;2;1;0;-1.000;7;23.030;2.599;2.534;4.988;0.080;5.080
6;Intro_Balanced1;0;0;0;-1.000;3;22.014;1.045;2.693;5.031;0.420;4.000
6;Intro_Balanced2;0;0;0;-1.000;0;11.902;1.922;3.903;6.023;0.520;0.000
6;Intro_Iso;4;1;1;2.080;4;20.201;3.000;2.641;3.896;0.220;3.820
7;Intro_Leader;2;0;0;-1.000;3;31.093;1.545;2.968;6.881;0.640;5.200
7;Intro_Balanced1;2;1;0;-1.000;1;22.359;0.302;3.562;6.955;0.420;2.200
7;Intro_Balanced2;0;0;0;-1.000;0;11.978;0.393;4.689;8.098;1.320;0.000
7;Intro_Iso;2;1;1;0.319;2;24.693;3.000;3.073;8.351;0.320;3.000
8;Intro_Leader;2;1;1;1.079;2;26.870;2.599;2.819;8.284;0.180;5.300
8;Intro_Balanced1;0;0;0;-1.000;0;10.734;1.133;4.696;12.108;0.800;0.000
8;Intro_Balanced2;1;1;0;-1.000;0;15.584;2.100;2.698;6.911;0.300;3.360
