OVERVIEW
total_episodes,wins,losses,win_rate,loss_rate
300,275,25,0.9167,0.0833

LOSS BREAKDOWN
failReason,count,pct_of_losses,pct_of_total
Timer,18,0.72,0.06
DragonEscaped,7,0.28,0.0233

METRIC MEANS
episodeDuration_mean,timeToKillAllDragons_mean,timeToGrabKey_mean,timeFromKeyGrabToEscape_mean
14.7727,5.0198,2.6911,7.2947

PHASE TIME PERCENTAGES (key grabbed episodes only)
phase,episodes_used,mean_seconds,mean_pct_of_duration
timeToKillAllDragons,293,4.9031,0.3819
timeToGrabKey,293,2.6911,0.1956
timeFromKeyGrabToEscape,293,7.2947,0.4225
