episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Introvert;0;0;0;-1.000;0;22.678;0.002;5.192;9.080;11.300;0.000
1;Conscientious;2;0;0;-1.000;3;35.405;0.051;4.116;4.948;2.840;5.340
1;NonConscientious;0;0;0;-1.000;1;36.576;1.577;4.765;7.246;1.520;3.520
1;Agreeable;4;2;1;13.924;2;40.588;0.316;4.129;5.544;1.520;1.820
2;Introvert;1;1;0;-1.000;2;20.845;1.499;3.537;7.492;1.740;5.580
2;Conscientious;0;0;0;-1.000;1;17.196;1.353;3.239;8.558;0.400;2.320
2;NonConscientious;0;0;1;3.570;1;27.496;3.000;4.090;10.473;0.400;4.140
2;Agreeable;5;1;0;-1.000;2;17.312;1.816;3.597;3.711;0.520;3.760
3;Introvert;3;1;0;-1.000;1;18.389;0.001;4.195;4.803;3.100;2.960
3;Conscientious;0;0;0;-1.000;1;21.236;0.854;4.335;6.093;1.120;1.620
3;NonConscientious;0;0;1;3.260;0;36.108;2.533;3.917;8.140;0.220;1.380
3;Agreeable;3;1;0;-1.000;2;29.405;0.848;3.501;4.989;0.420;3.200
4;Introvert;0;0;0;-1.000;0;19.726;0.014;5.357;10.463;5.020;0.000
4;Conscientious;5;2;1;5.019;2;31.694;2.350;4.056;3.969;0.340;2.940
4;NonConscientious;0;0;0;-1.000;1;28.120;0.663;4.053;7.541;1.220;2.960
4;Agreeable;1;0;0;-1.000;1;19.730;0.034;4.422;8.216;1.220;4.940
5;Introvert;0;0;0;-1.000;0;14.436;0.542;4.922;12.434;2.960;0.040
5;Conscientious;2;1;0;-1.000;0;12.546;0.964;3.708;5.588;0.140;0.800
5;NonConscientious;3;1;1;0.640;0;23.204;2.987;4.187;5.928;0.100;1.460
5;Agreeable;1;0;0;-1.000;0;17.747;1.169;4.095;3.739;0.200;0.660
6;Introvert;0;0;0;-1.000;2;18.428;0.225;3.542;7.394;3.800;1.160
6;Conscientious;0;0;1;3.940;1;27.586;3.000;3.181;4.311;0.500;5.500
6;NonConscientious;3;0;0;-1.000;4;25.746;0.003;2.946;5.771;0.460;4.240
6;Agreeable;3;2;0;-1.000;3;25.923;0.839;2.971;5.649;0.500;4.980
7;Introvert;2;0;0;-1.000;4;46.193;0.046;3.345;6.142;5.980;10.140
7;Conscientious;4;2;1;2.499;7;44.065;3.000;2.637;4.758;1.520;23.620
7;NonConscientious;0;0;0;-1.000;1;39.001;1.922;2.913;8.409;1.320;7.740
7;Agreeable;0;0;0;-1.000;2;40.343;1.300;2.786;8.448;1.720;13.940
8;Introvert;0;0;0;-1.000;0;35.199;0.717;3.835;5.958;6.800;2.000
