episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;0;Timer;35.601;5.600;13.940;16.060
2;1;null;12.580;4.180;3.580;4.820
3;1;null;16.280;3.640;3.260;9.380
4;1;null;17.240;3.980;5.020;8.240
5;1;null;10.200;3.100;0.640;6.460
6;1;null;16.160;4.780;3.940;7.440
7;0;Timer;38.661;8.660;2.500;27.500
8;0;Timer;34.801;4.800;3.860;26.140
9;1;null;23.780;5.940;9.940;7.900
10;1;null;10.500;5.440;4.120;0.940
11;1;null;16.500;4.520;1.420;10.560
12;1;null;7.840;3.060;2.540;2.240
13;1;null;28.920;6.500;16.120;6.300
14;1;null;22.460;4.360;6.580;11.520
15;1;null;7.560;3.900;2.020;1.640
16;1;null;20.040;3.160;3.800;13.080
17;0;Timer;33.541;3.540;30.001;0.000
18;0;Timer;36.001;6.000;2.540;27.460
19;1;null;12.300;4.800;3.440;4.060
20;1;null;9.160;4.940;2.160;2.060
21;1;null;14.460;2.800;9.220;2.440
22;1;null;7.940;1.160;1.740;5.040
23;1;null;13.800;4.920;3.320;5.560
24;1;null;12.440;3.700;3.920;4.820
25;1;null;5.200;1.540;0.960;2.700
26;0;Timer;35.981;5.980;1.500;28.500
27;1;null;13.700;4.260;3.520;5.920
28;1;null;18.280;5.520;0.780;11.980
29;0;DragonEscaped;12.540;12.540;0.000;0.000
30;1;null;21.760;1.920;8.420;11.420
31;1;null;18.480;5.740;3.180;9.560
32;1;null;13.820;4.000;5.920;3.900
33;1;null;5.720;3.980;1.020;0.720
34;1;null;18.900;4.120;1.280;13.500
35;1;null;14.320;4.700;2.480;7.140
36;1;null;12.940;10.260;0.940;1.740
37;1;null;23.120;9.060;3.080;10.980
38;1;null;11.680;4.080;0.500;7.100
39;0;Timer;31.921;1.920;3.140;26.860
40;1;null;13.080;3.820;1.740;7.520
41;1;null;8.160;6.280;0.860;1.020
42;1;null;18.740;3.120;5.240;10.380
43;1;null;8.080;4.380;0.520;3.180
44;1;null;21.840;4.480;14.900;2.460
45;1;null;29.981;4.320;12.520;13.140
46;1;null;15.060;9.420;0.800;4.840
47;1;null;32.801;7.760;4.020;21.020
48;1;null;7.200;3.640;0.820;2.740
49;0;Timer;35.841;5.840;24.800;5.200
50;1;null;12.480;4.580;5.540;2.360
51;1;null;11.840;5.360;3.300;3.180
52;1;null;27.540;10.180;15.240;2.120
53;1;null;8.200;1.340;2.000;4.860
54;1;null;17.660;8.160;4.700;4.800
55;1;null;23.920;4.180;14.820;4.920
56;1;null;17.720;4.900;8.200;4.620
57;1;null;8.020;4.220;2.640;1.160
58;1;null;15.140;2.600;2.800;9.740
59;1;null;22.080;3.380;0.860;17.840
60;1;null;9.340;4.600;2.520;2.220
61;1;null;7.460;2.640;1.880;2.940
62;1;null;19.000;4.160;4.960;9.880
63;0;DragonEscaped;12.020;12.020;0.000;0.000
64;1;null;36.141;6.780;6.240;23.120
65;1;null;10.920;5.880;1.000;4.040
66;1;null;17.000;6.360;2.640;8.000
67;1;null;13.840;6.000;2.600;5.240
68;1;null;20.580;6.440;3.020;11.120
69;1;null;13.300;5.600;3.800;3.900
70;0;Timer;32.621;2.620;0.800;29.200
71;1;null;26.300;4.380;9.480;12.440
72;0;DragonEscaped;9.160;9.160;0.000;0.000
73;1;null;12.880;4.600;3.140;5.140
74;1;null;18.000;3.180;5.600;9.220
75;0;Timer;33.521;3.520;5.800;24.200
76;1;null;9.420;2.540;4.720;2.160
77;1;null;8.400;4.100;2.660;1.640
78;1;null;22.400;11.760;2.960;7.680
79;1;null;26.360;7.300;5.860;13.200
80;1;null;15.400;6.120;3.560;5.720
81;1;null;18.600;4.600;1.960;12.040
82;1;null;16.440;6.600;2.340;7.500
83;1;null;13.220;6.700;1.860;4.660
84;0;DragonEscaped;10.760;10.760;0.000;0.000
85;1;null;15.600;2.940;4.680;7.980
86;1;null;13.800;3.800;4.340;5.660
87;1;null;9.780;7.840;1.200;0.740
