OVERVIEW
total_episodes,wins,losses,win_rate,loss_rate
300,256,44,0.8533,0.1467

LOSS BREAKDOWN
failReason,count,pct_of_losses,pct_of_total
Timer,26,0.5909,0.0867
DragonEscaped,18,0.4091,0.06

METRIC MEANS
episodeDuration_mean,timeToKillAllDragons_mean,timeToGrabKey_mean,timeFromKeyGrabToEscape_mean
17.2891,5.0926,4.4546,8.5202

PHASE TIME PERCENTAGES (key grabbed episodes only)
phase,episodes_used,mean_seconds,mean_pct_of_duration
timeToKillAllDragons,282,4.7783,0.3181
timeToGrabKey,282,4.4546,0.2451
timeFromKeyGrabToEscape,282,8.5202,0.4368
