episode;personality;hitsInflicted;dragonsKilled;hasKey;timeToFindKey;agentCollisions;distanceTraveled;avgSpeed;avgDistanceFromAgents;avgDistanceFromDragons;idleTime;timeInVicinityOfAgents
1;Introvert;0;0;0;-1.000;0;12.716;0.037;3.366;4.755;1.600;0.280
1;Introvert;0;0;0;-1.000;0;14.657;0.374;3.850;9.689;0.820;0.000
1;Introvert;4;1;0;-1.000;0;12.175;0.464;3.119;2.609;0.320;0.280
1;Introvert;2;1;1;2.161;0;16.746;2.399;3.843;6.872;0.120;0.000
2;Introvert;1;1;0;-1.000;1;21.016;0.519;3.484;8.800;2.340;5.660
2;Introvert;2;0;0;-1.000;2;28.518;2.646;3.916;4.961;0.100;4.260
2;Introvert;3;1;1;2.940;3;32.602;2.858;3.263;7.902;0.600;7.600
2;Introvert;0;0;0;-1.000;0;23.433;0.132;3.808;10.486;1.200;1.480
3;Introvert;0;0;0;-1.000;0;24.249;0.009;4.203;7.370;4.580;0.000
3;Introvert;2;2;1;8.860;0;30.728;3.000;4.883;6.056;1.000;0.120
3;Introvert;4;0;0;-1.000;0;34.431;2.533;3.914;7.464;1.000;0.340
3;Introvert;0;0;0;-1.000;0;22.460;0.962;4.375;9.709;1.300;0.460
4;Introvert;1;0;0;-1.000;1;19.966;1.188;4.791;4.978;3.500;2.100
4;Introvert;4;1;1;1.060;0;33.798;2.376;4.846;5.550;0.200;0.700
4;Introvert;1;1;0;-1.000;1;19.744;0.335;4.303;6.691;1.500;1.680
4;Introvert;0;0;0;-1.000;0;19.365;0.278;4.258;8.087;0.900;0.000
5;Introvert;2;1;0;-1.000;2;26.268;0.003;3.717;5.928;7.300;3.220
5;Introvert;1;0;0;-1.000;2;25.200;1.144;3.748;5.592;1.120;3.220
5;Introvert;0;0;0;-1.000;1;23.234;0.420;3.633;6.708;1.920;3.960
5;Introvert;3;1;1;1.321;1;42.407;2.945;4.168;5.630;0.920;3.960
6;Introvert;2;1;0;-1.000;0;28.380;1.439;5.913;8.231;1.480;0.600
6;Introvert;0;0;0;-1.000;0;11.576;1.436;5.906;11.450;1.800;0.000
6;Introvert;1;0;0;-1.000;0;22.770;1.353;4.355;5.286;1.100;3.760
6;Introvert;3;1;1;0.482;0;33.462;3.000;4.364;4.661;0.700;4.360
7;Introvert;0;0;0;-1.000;0;13.972;1.334;4.836;7.754;2.000;0.000
7;Introvert;2;1;0;-1.000;2;14.446;0.881;3.866;3.765;0.600;4.120
7;Introvert;0;0;0;-1.000;0;8.488;0.046;4.897;8.980;1.360;0.180
7;Introvert;4;1;1;1.259;2;18.377;2.043;3.455;4.083;0.020;4.300
8;Introvert;4;1;0;-1.000;0;11.515;1.361;4.943;1.895;3.960;0.000
8;Introvert;0;0;1;4.440;0;25.105;3.000;5.526;12.947;0.320;0.740
8;Introvert;0;0;0;-1.000;0;14.640;1.306;4.043;6.461;0.720;0.740
8;Introvert;2;1;0;-1.000;0;17.834;1.052;4.290;6.159;0.520;0.000
9;Introvert;1;1;1;2.420;1;14.965;2.599;3.582;3.952;0.720;1.040
