episode;win;failReason;episodeDuration;timeToKillAllDragons;timeToGrabKey;timeFromKeyGrabToEscape
1;1;null;7.800;4.560;2.160;1.080
2;1;null;17.500;7.840;2.940;6.720
3;1;null;22.900;8.500;8.860;5.540
4;1;null;15.520;2.480;1.060;11.980
5;1;null;26.080;3.280;1.320;21.480
6;1;null;17.940;5.960;0.480;11.500
7;1;null;8.700;6.640;1.260;0.800
8;1;null;13.660;3.420;4.440;5.800
9;1;null;8.020;1.920;2.420;3.680
10;1;null;6.940;3.100;1.620;2.220
11;1;null;9.180;3.040;1.660;4.480
12;1;null;10.580;3.360;2.560;4.660
13;1;null;24.200;1.260;3.940;19.000
14;1;null;23.500;3.980;4.840;14.680
15;1;null;6.000;2.980;2.500;0.520
16;1;null;10.400;8.040;0.640;1.720
17;1;null;11.980;2.360;3.880;5.740
18;1;null;23.640;7.320;4.920;11.400
19;1;null;11.160;3.860;4.440;2.860
20;1;null;5.460;2.560;0.660;2.240
21;1;null;15.380;7.000;4.020;4.360
22;1;null;10.300;6.280;2.040;1.980
23;1;null;21.080;9.420;2.700;8.960
24;1;null;13.420;8.200;3.380;1.840
25;1;null;11.780;3.700;1.580;6.500
26;1;null;12.060;4.420;1.280;6.360
27;1;null;20.680;7.180;1.500;12.000
28;1;null;9.020;5.400;1.000;2.620
29;1;null;22.460;3.820;0.600;18.040
30;1;null;12.120;8.460;1.900;1.760
31;1;null;14.120;3.640;6.960;3.520
32;1;null;9.620;7.000;1.100;1.520
33;0;DragonEscaped;10.680;10.680;0.000;0.000
34;1;null;12.100;4.380;0.840;6.880
35;1;null;15.120;7.380;1.840;5.900
36;1;null;7.160;2.780;0.780;3.600
37;1;null;14.080;5.240;0.440;8.400
38;1;null;11.720;3.080;5.340;3.300
39;1;null;29.360;8.440;2.500;18.420
40;1;null;17.480;6.160;3.180;8.140
41;1;null;14.680;7.640;0.820;6.220
42;1;null;4.940;1.700;2.620;0.620
43;1;null;17.940;7.740;2.320;7.880
44;1;null;5.800;2.400;2.060;1.340
45;1;null;14.700;6.680;3.060;4.960
46;1;null;26.280;9.760;0.440;16.080
47;1;null;15.740;11.120;2.860;1.760
